artist,track,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week20,week21,week22,week23,week24,week25,week26,week27,week28,week29,week30,week31,week32,week33,week34,week35,week36,week37,week38,week39,week40,week41,week42,week43,week44,week45,week46,week47,week48,week49,week50,week51,week52,week53,week54,week55,week56,week57,week58,week59,week60,week61,week62,week63,week64
"Chesney, Kenny",I Lost It,75,67,61,58,58,53,47,47,40,34,36,45,42,45,60,70,82,88,89,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J-Shin,One Night Stand,96,96,69,74,72,62,49,45,38,34,38,45,47,58,68,88,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eve,Love Is Blind,94,91,57,46,46,40,34,39,42,46,50,59,66,78,87,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaliyah,I Don't Wanna,84,62,51,41,38,35,35,38,38,36,37,37,38,49,61,63,62,67,83,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Montgomery, John Michael",The Little Girl,81,67,64,56,45,41,41,35,35,38,37,42,45,50,57,63,62,83,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carter, Aaron",Aaron's Party (Come Get It),99,75,57,35,35,37,43,79,51,55,67,83,86,92,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vassar, Phil",Just Another Day In Paradise,81,81,76,67,53,46,43,38,36,35,43,41,46,51,62,58,63,70,74,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ice Cube,You Can Do It,86,66,50,42,42,40,35,46,45,54,73,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wills, Mark",Back At One,89,55,51,43,37,37,36,39,42,46,45,52,64,74,84,90,94,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucy Pearl,Dance Tonight,80,75,63,59,55,49,42,42,40,40,36,43,46,54,72,84,84,86,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jackson, Alan",It Must Be Love,76,74,68,63,57,49,44,39,39,38,37,37,40,47,62,64,75,80,84,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Griggs, Andy",She's More,81,76,69,67,62,55,52,51,51,48,47,43,42,37,41,50,69,73,77,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Doubt,Simple Kind Of Life,50,40,39,38,38,48,52,55,80,85,88,100,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jean, Wyclef",911,77,74,64,61,53,48,43,38,42,38,44,49,53,61,66,68,80,85,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rascal Flatts,Prayin' For Daylight,87,78,72,68,66,64,58,58,56,54,49,46,46,41,38,38,47,65,72,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitamin C,Graduation (Friends Forever),81,64,54,54,46,40,40,40,38,42,57,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gilman, Billy",One Voice,86,86,82,72,65,56,56,55,44,44,43,38,40,44,61,77,85,95,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lonestar,Smile,89,80,80,80,65,47,44,42,39,39,43,41,43,45,50,58,67,78,85,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rogers, Kenny",Buy Me A Rose,79,72,65,65,54,46,46,43,40,40,46,54,58,66,73,82,86,84,88,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lawrence, Tracy",Lessons Learned,80,73,61,61,48,48,48,48,44,42,40,40,50,66,81,93,94,99,99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Strait, George",Go On,71,67,63,56,53,48,46,46,44,40,44,46,49,56,56,71,78,88,95,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sisqo,Got To Get It,92,76,73,58,48,48,48,48,49,40,43,51,50,57,63,64,68,82,88,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baha Men,Who Let The Dogs Out,99,92,85,76,65,54,61,58,54,54,53,53,43,40,44,41,51,65,78,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Walker, Clay",The Chain Of Love,73,65,57,57,51,48,44,43,40,45,44,53,57,68,71,81,90,94,94,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McBride, Martina",Love's The Only House,79,69,65,58,53,52,52,48,45,43,42,42,50,60,64,75,91,93,92,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber,Sexual (Li Da Di),99,99,96,96,100,93,93,96,,,99,,96,96,99,98,98,,95,88,88,79,76,69,69,59,58,58,49,44,42,46,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tippin, Aaron",Kiss This,74,72,66,53,52,47,47,45,42,46,51,60,68,69,78,94,87,92,97,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SheDaisy,I Will.. But,78,74,70,61,59,52,48,47,45,43,44,43,52,56,70,80,86,81,85,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Raye, Collin",Couldn't Last A Moment,91,85,75,73,67,63,63,63,56,49,48,46,44,44,43,45,53,66,73,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Rob,Whoa!,78,59,53,52,47,46,43,47,47,58,54,57,70,85,84,93,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jackson, Alan",Pop A Top,79,73,70,64,63,57,55,55,63,52,43,47,55,78,95,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Black, Clint",Been There,87,73,62,58,58,57,51,47,44,44,44,55,53,53,63,84,85,87,95,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common,The Light,75,55,53,49,46,44,49,51,51,56,52,56,70,82,86,89,93,93,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vassar, Phil",Carlene,75,67,64,64,57,53,47,45,45,50,52,56,59,78,83,84,91,96,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jackson, Alan",www.memory,75,59,59,54,50,49,47,45,49,69,63,67,77,89,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitamin C,The Itch,86,48,45,52,57,58,76,95,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eastsidaz, The",G'D Up,77,77,89,64,57,47,47,55,65,69,83,82,90,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ideal,Whatever,75,75,67,73,64,56,54,54,54,48,47,50,60,68,73,81,92,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thomas, Carl",Emotional,77,63,61,58,54,47,53,52,49,52,60,62,69,69,63,76,87,82,91,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ginuwine,None Of Ur Friends Business,94,84,71,71,60,63,48,48,48,55,64,71,85,85,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Davidson, Clay",Unconditional,97,97,97,90,83,78,74,69,60,56,54,50,49,55,52,51,51,62,63,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMX,What You Want,98,95,95,87,86,79,62,60,58,57,52,55,49,57,62,65,87,89,99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"John, Elton",Someday Out Of The Blue,56,56,49,59,67,60,64,73,81,90,93,89,98,94,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pearl Jam,Nothing As It Seems,49,70,84,89,93,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mya,The Best Of Me,85,70,65,62,55,50,50,56,61,61,72,84,81,86,86,94,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heatherly, Eric",Flowers On The Wall,95,88,88,82,82,77,72,67,65,65,65,60,60,53,51,50,57,77,83,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eminem,Stan,78,67,57,57,51,51,51,57,55,70,69,77,88,93,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McEntire, Reba",I'll Be,89,79,79,72,69,64,61,57,55,55,52,51,53,60,81,84,93,91,94,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lopez, Jennifer",Feelin' Good,79,79,66,54,54,54,54,51,61,79,96,,,64,74,73,79,82,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Urban, Keith",Your Everything,81,80,73,73,67,64,60,59,53,51,55,66,84,90,96,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLC,Dear Lie,63,55,52,51,56,74,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gill, Vince",Feels Like Love,82,76,74,73,73,65,59,58,54,54,53,52,55,52,57,76,91,99,,91,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Houston, Whitney",Could I Have This Kiss Forever,74,68,68,67,59,59,60,52,54,56,59,70,69,81,87,95,98,100,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloodhound Gang,The Bad Touch,70,62,55,55,52,57,72,80,82,92,96,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Williams, Robbie",Angels,85,77,69,69,62,56,56,64,54,53,72,83,81,88,96,93,91,89,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Messina, Jo Dee",Because You Love Me,83,78,71,71,66,55,53,57,61,61,61,72,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Keith, Toby",Country Comes To Town,82,78,75,69,66,62,59,58,55,55,54,62,81,95,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beenie Man,Girls Dem Sugar,72,72,63,56,62,63,54,60,69,75,84,92,85,84,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hill, Faith",Let's Make Love,83,83,73,73,67,60,60,60,57,55,54,69,88,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelis,Caught Out There,84,68,67,63,63,54,56,59,68,67,75,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay-Z,Anything,72,58,55,55,63,74,86,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Doors Down,Loser,76,76,72,69,67,65,55,59,62,61,61,59,61,66,72,76,75,67,73,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooks & Dunn,You'll Always Be Loved By Me,95,85,85,85,83,83,82,74,74,68,62,56,56,55,62,71,86,100,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chesney, Kenny",What I Need To Do,79,74,68,72,69,69,62,58,57,57,56,56,56,72,80,93,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stone, Angie",No More Rain (In This Cloud),86,86,74,66,56,60,56,60,67,69,63,73,71,81,89,98,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Da Brat,That's What I'm Looking For,93,73,60,60,60,60,63,56,58,70,71,72,90,94,94,94,94,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SheDaisy,This Woman Needs,82,70,70,67,57,57,61,68,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papa Roach,Last Resort,75,71,69,69,66,64,61,61,66,64,63,60,65,66,62,66,64,64,57,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adams, Yolanda",Open My Heart,76,76,74,69,68,67,61,58,57,59,66,68,61,67,59,63,67,71,79,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shyne,Bad Boyz,94,87,90,90,82,67,61,57,71,78,74,81,88,96,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.E.M.,The Great Beyond,79,79,70,62,60,57,61,66,60,59,60,63,79,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diffie, Joe",It's Always Somethin',81,78,67,63,60,57,63,69,78,85,92,92,,99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McGraw, Tim",Some Things Never Change,76,66,66,65,63,60,60,58,58,58,58,59,70,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Henley, Don",Taking You Home,79,77,74,73,66,62,58,58,61,68,71,71,79,83,85,87,83,90,87,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eminem,The Way I Am,87,74,59,65,59,58,59,62,89,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nas,You Owe Me,74,72,68,59,59,59,67,67,63,69,75,82,79,88,95,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sister Hazel,Change Your Mind,75,67,66,59,63,71,78,81,78,78,84,87,94,91,93,95,100,98,96,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puff Daddy,Best Friend,65,59,62,79,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McBride, Martina",There You Are,79,75,75,75,73,64,60,60,60,63,63,82,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Usher,Pop Ya Collar,68,64,60,60,62,79,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lil' Kim,No Matter What They Say,80,72,67,60,65,73,81,86,90,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LFO,I Don't Wanna Kiss You Goodnight,63,61,68,73,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SheDaisy,Deck The Halls,97,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Splender,I Think God Can Explain,71,66,62,62,62,64,65,71,81,89,95,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Simpson, Jessica",Where You Are,73,66,62,62,76,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2M,Mirror Mirror,87,87,94,91,75,68,65,86,62,70,74,70,70,80,82,87,90,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kumbia Kings,U Don't Love Me,81,64,62,67,70,70,75,87,89,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe,Treat Her Like A Lady,77,75,63,63,69,64,68,67,72,79,78,84,85,90,89,99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blige, Mary J.",Deep Inside,83,80,80,75,75,73,64,64,65,67,63,67,75,85,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Price, Kelly",You Should've Told Me,91,91,91,87,86,79,79,75,70,68,64,64,68,70,74,90,86,85,93,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Changing Faces,That Other Woman,80,72,66,66,64,76,65,66,75,85,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wright, Chely",It Was,86,78,75,72,71,69,64,75,85,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limp Bizkit,Rollin',77,73,72,66,65,65,67,73,74,78,80,86,86,91,93,96,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hot Boys,I Need A Hot Girl,77,75,71,65,65,70,69,77,79,90,92,95,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay-Z,Do It Again (Put Ya Hands Up),95,68,65,65,74,84,92,96,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adkins, Trace",More,84,84,75,73,73,69,68,65,73,83,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dixie Chicks, The",Cold Day In July,80,79,76,72,68,68,65,70,84,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Price, Kelly",As We Lay,82,69,69,64,71,79,82,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMX,What's My Name,98,76,69,69,67,73,76,90,90,94,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Martin, Ricky",Private Emotion,76,67,71,78,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nine Days,If I Am,68,68,81,94,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blige, Mary J.",Give Me You,97,94,77,76,68,77,89,90,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Hot Chili Peppers,Californication,72,72,72,77,79,77,75,84,85,79,74,69,74,75,77,71,78,89,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Third Eye Blind,Deep Inside Of You,80,73,70,70,70,69,72,79,90,97,95,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brooks, Garth",Do What You Gotta Do,86,81,72,70,69,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Offspring, The",Original Prankster,74,71,70,70,77,78,91,89,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anthony, Marc",My Baby You,82,76,76,70,82,81,74,80,76,76,73,74,87,83,89,93,94,94,91,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Houston, Whitney","Same Script, Different Cast",71,71,71,71,70,75,77,88,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D'Angelo,Left & Right,93,77,75,70,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kravitz, Lenny",I Belong To You,78,77,71,71,71,83,90,90,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Loveless, Patty",That's The Kind Of Mood I'm In,98,93,93,93,88,88,82,81,73,71,71,72,85,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q-Tip,Breathe And Stop,71,71,81,82,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rimes, LeAnn",Can't Fight The Moonlight,82,71,79,83,96,99,78,78,83,79,77,76,79,81,88,85,86,79,87,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lil Wayne,Tha Block Is Hot,99,89,92,84,84,72,81,81,86,87,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wallflowers, The",Sleepwalker,73,73,74,80,90,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drama,"Left, Right, Left",100,98,89,80,75,73,80,86,91,96,100,98,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limp Bizkit,N 2 Gether Now,94,88,85,78,78,73,84,86,90,97,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lox,"Ryde or Die, Chick",86,73,80,84,91,97,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ying Yang Twins,Whistle While You Twurk,95,94,91,85,84,78,74,78,85,89,97,96,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Walker, Clay","Live, Laugh, Love",95,95,94,94,94,95,82,74,79,92,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metallica,No Leaf Clover (Live),86,81,78,76,74,80,86,93,95,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yankee Grey,Another Nine Minutes,86,83,77,74,83,79,88,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bega, Lou",Tricky Tricky ,75,74,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Punisher,It's So Hard,96,87,75,79,81,81,76,76,78,84,90,88,94,98,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Worley, Darryl",When You Need My Love,98,88,93,92,85,85,84,80,80,80,80,75,78,86,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lil' Kim,How Many Licks?,79,75,77,86,86,89,,,96,96,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clark, Terri",A Little Gasoline,75,82,88,96,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brock, Chad",A Country Boy Can Survive,93,75,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cagle, Chris",My Love Goes On And On,99,94,94,87,84,83,76,76,79,83,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Byrd, Tracy",Put Your Hand In Mine,81,77,76,76,86,88,92,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metallica,I Disappear,86,84,88,81,81,76,81,81,78,84,83,82,87,88,91,94,98,95,89,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay-Z,Hey Papi,98,100,98,94,83,83,80,78,76,77,85,91,93,88,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatboy Slim,The Rockafeller Skank,94,94,94,87,77,77,83,82,82,92,76,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levert, Gerald",Mr. Too Damn Good,84,83,83,76,86,86,88,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McKnight, Brian",Stay Or Let It Go,95,92,82,78,76,88,100,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Allan, Gary",Smoke Rings In The Dark,80,78,76,77,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ginuwine,The Best Man I Can Be,97,97,83,94,84,88,85,82,77,77,85,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Before Dark,Monica,95,87,80,80,77,87,91,91,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estefan, Gloria",No Me Dejes De Querer,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stone Temple Pilots,Sour Girl,79,79,79,78,78,87,89,88,95,93,91,94,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montgomery Gentry,Daddy Won't Sell The Farm,87,83,81,79,81,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cyrus, Billy Ray",You Won't Be Lonely Now,97,97,97,92,91,88,85,80,82,80,80,89,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark Family Experience,Meanwhile Back At The Ranch,87,86,81,92,80,80,82,84,82,81,85,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thomas, Carl",Summer Rain,82,82,86,80,82,83,84,82,88,94,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yearwood, Trisha",Real Live Woman,85,83,83,82,81,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
